SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
66417082	1.00703	0.923464	0.911899	0.679222	0.894417	0.0151515	1.11809	1.07208	0.519061	0.543417	0.952906	0.814376	0.562297	0	0.498333	1.08567	1	0.881896	0.560547	0.509114	0.450802	0.249604	0.531132	0.442636
664934021	0.89469	0.832568	0.838086	0.894413	0	0.82412	0.755646	0.470819	1.09419	0.387609	0	0.532495	0.441143	0	0.556819	0.829054	1	0.933398	0.510415	0.48058	0.534042	0.259016	0.513841	0.405018
665921081	0.958229	0.598239	0.670743	0.807433	0	0.828638	0.69737	0.389269	0.838782	0.375194	0	0	0.430565	0.199243	0.504952	0.781931	1	0.696367	0.277912	0.391716	0.382404	0.144006	0.384019	0.341016
666442081	0.851679	0.650567	0.884237	0.8393	0	0.854761	0.705964	0	0.872905	0	0	0	0.968967	0	0.835989	0.927593	1	0.802794	0	0.389433	0.426181	0.136498	0.385769	0.419621
667934102	1.09177	1.08714	0.728733	0.603234	0.77847	0	0.538639	1.06293	0.553609	0.451073	0.906434	0.363922	0.472738	0.229054	0.505329	0.971936	1	0.484781	0	0.524618	0.410085	0.0180692	0.547655	0.427762
670208081	1.02091	1.06355	0.970031	1.03355	0	0.914349	1.04849	8.57056e-05	1.05493	0	0	0	0.990635	0	1.06364	0.925927	1	1.21567	0	0.375503	0.456001	0.218197	0.488327	0.406029
671208082	1.07941	0.790735	0.704068	0.830626	0.00176345	0.998541	1.00723	0	0.945162	0	0	0	0.96515	0	0.957259	0.924048	1	0.747725	0	0.404052	0.414174	0.151949	0.44188	0.393408
672208061	1.27634	0.969798	1.15505	0.744765	0.49214	0.509022	1.12112	0.4282	0.745275	0.493763	0.558265	0	0.519955	0.241071	0.706693	0.856729	1	1.2352	0.626239	0.513632	0.422989	0.134098	0.509291	0.514274
673715061	0.987963	0.887139	0.989589	1.15841	0	1.22331	1.10547	0	0.930413	0	0	0	1.02266	0	1.0327	0.93506	1	1.09417	0	0.441887	0.410111	0.352763	0.462182	0.483341
674703041	0.952532	0.767549	0.852778	0.837817	0.0168726	0.929456	0.897482	0.477514	1.07616	0.429093	0	0	0.433155	0.213907	0.570899	0.901128	1	0.924311	0.497175	0.470812	0.49679	0.0708777	0.42904	0.402605
675000350	0.872543	0.909066	0.870704	1.11037	0	0.992087	0.938872	0	0.901433	0	0	0	0.929381	0	0.980937	1.06398	1	1.02315	0	0.542987	0.401796	0.0940712	0.501817	0.464913
