Sample	Gene	Ratio	Heterozygosis	Order
497413041	HLA-G	0.857288	heterozygosis: yes (1-2)	341
1083645101	HLA-G	0.857498	heterozygosis: unknown	342
202320082	HLA-G	0.858068	heterozygosis: unknown	343
599208021	HLA-G	0.858127	heterozygosis: yes (1-2)	344
210800043	HLA-G	0.858165	heterozygosis: unknown	345
683407031	HLA-G	0.858310	heterozygosis: unknown	346
1111319301	HLA-G	0.858446	heterozygosis: yes (>2)	347
250214101	HLA-G	0.858516	heterozygosis: yes (1-2)	348
210800026	HLA-G	0.858618	heterozygosis: yes (1-2)	349
210800067	HLA-G	0.859743	heterozygosis: yes (1-2)	350
1159519001	HLA-G	0.860279	heterozygosis: yes (1-2)	351
1026319101	HLA-G	0.860465	heterozygosis: unknown	352
871400011	HLA-G	0.860735	heterozygosis: yes (1-2)	353
603211092	HLA-G	0.861111	heterozygosis: unknown	354
1194402801	HLA-G	0.861319	heterozygosis: yes (1-2)	355
283910031	HLA-G	0.861419	heterozygosis: unknown	356
534200027	HLA-G	0.861482	heterozygosis: yes (1-2)	357
210800074	HLA-G	0.861801	heterozygosis: unknown	358
1106309302	HLA-G	0.862208	heterozygosis: yes (1-2)	359
1119561901	HLA-G	0.862234	heterozygosis: unknown	360
28326021	HLA-G	0.862349	heterozygosis: yes (1-2)	361
1187601202	HLA-G	0.862486	heterozygosis: yes (1-2)	362
210322011	HLA-G	0.863081	heterozygosis: unknown	363
647405102	HLA-G	0.863154	heterozygosis: yes (1-2)	364
605228011	HLA-G	0.863248	heterozygosis: unknown	365
1031824301	HLA-G	0.863796	heterozygosis: unknown	366
1218625501	HLA-G	0.864387	heterozygosis: unknown	367
1025318501	HLA-G	0.864642	heterozygosis: unknown	368
1108317201	HLA-G	0.864730	heterozygosis: unknown	369
579020062	HLA-G	0.864875	heterozygosis: yes (1-2)	370
309300061	HLA-G	0.865151	heterozygosis: yes (1-2)	371
1339531301	HLA-G	0.865283	heterozygosis: unknown	372
253900058	HLA-G	0.865302	heterozygosis: unknown	373
210800028	HLA-G	0.865969	heterozygosis: unknown	374
303100081	HLA-G	0.865986	heterozygosis: unknown	375
851230081	HLA-G	0.866787	heterozygosis: unknown	376
289911091	HLA-G	0.866831	heterozygosis: yes (1-2)	377
229727101	HLA-G	0.866876	heterozygosis: yes (>2)	378
1060302901	HLA-G	0.867022	heterozygosis: yes (1-2)	379
1311000301	HLA-G	0.868725	heterozygosis: yes (1-2)	380
600211031	HLA-G	0.868727	heterozygosis: yes (1-2)	381
514708022	HLA-G	0.869307	heterozygosis: yes (1-2)	382
631000405	HLA-G	0.869401	heterozygosis: yes (1-2)	383
675000350	HLA-G	0.870704	heterozygosis: unknown	384
111306051	HLA-G	0.871029	heterozygosis: unknown	385
239601011	HLA-G	0.871095	heterozygosis: unknown	386
645401031	HLA-G	0.871282	heterozygosis: yes (1-2)	387
635323081	HLA-G	0.871292	heterozygosis: unknown	388
131909101	HLA-G	0.871967	heterozygosis: yes (1-2)	389
351944071	HLA-G	0.872033	heterozygosis: yes (1-2)	390
210800030	HLA-G	0.872722	heterozygosis: yes (1-2)	391
397725012	HLA-G	0.873094	heterozygosis: unknown	392
1177609101	HLA-G	0.873273	heterozygosis: yes (1-2)	393
1210206401	HLA-G	0.873619	heterozygosis: yes (1-2)	394
1335501701	HLA-G	0.873937	heterozygosis: unknown	395
1166506501	HLA-G	0.874193	heterozygosis: unknown	396
308300051	HLA-G	0.874396	heterozygosis: yes (1-2)	397
1061309301	HLA-G	0.874612	heterozygosis: unknown	398
321701011	HLA-G	0.874935	heterozygosis: unknown	399
313300141	HLA-G	0.875065	heterozygosis: unknown	400
382019052	HLA-G	0.875312	heterozygosis: yes (1-2)	401
182806101	HLA-G	0.876070	heterozygosis: yes (1-2)	402
1007215301	HLA-G	0.876168	heterozygosis: yes (1-2)	403
190731091	HLA-G	0.876763	heterozygosis: unknown	404
695209021	HLA-G	0.877627	heterozygosis: unknown	405
1163613101	HLA-G	0.877925	heterozygosis: yes (1-2)	406
1005214101	HLA-G	0.878221	heterozygosis: yes (1-2)	407
463137092	HLA-G	0.878462	heterozygosis: unknown	408
462911072	HLA-G	0.878481	heterozygosis: unknown	409
687912091	HLA-G	0.878738	heterozygosis: yes (1-2)	410
222409102	HLA-G	0.879379	heterozygosis: unknown	411
210800141	HLA-G	0.879458	heterozygosis: yes (1-2)	412
1333214001	HLA-G	0.880123	heterozygosis: unknown	413
210800027	HLA-G	0.880240	heterozygosis: yes (1-2)	414
1030315301	HLA-G	0.880556	heterozygosis: unknown	415
654000467	HLA-G	0.880565	heterozygosis: unknown	416
1310570901	HLA-G	0.881302	heterozygosis: yes (1-2)	417
1037800501	HLA-G	0.881444	heterozygosis: yes (>2)	418
1172507501	HLA-G	0.881594	heterozygosis: unknown	419
1224835901	HLA-G	0.882046	heterozygosis: yes (1-2)	420
64404101	HLA-G	0.882433	heterozygosis: unknown	421
513111021	HLA-G	0.882568	heterozygosis: yes (1-2)	422
856103091	HLA-G	0.882669	heterozygosis: yes (1-2)	423
62929011	HLA-G	0.882706	heterozygosis: unknown	424
1047326101	HLA-G	0.883154	heterozygosis: yes (1-2)	425
210800062	HLA-G	0.883184	heterozygosis: unknown	426
310300011	HLA-G	0.883260	heterozygosis: yes (1-2)	427
575300031	HLA-G	0.883267	heterozygosis: yes (1-2)	428
1092662101	HLA-G	0.883485	heterozygosis: yes (1-2)	429
210800142	HLA-G	0.883817	heterozygosis: yes (1-2)	430
1013617501	HLA-G	0.884175	heterozygosis: unknown	431
666442081	HLA-G	0.884237	heterozygosis: yes (1-2)	432
594913051	HLA-G	0.884775	heterozygosis: yes (1-2)	433
210800024	HLA-G	0.886012	heterozygosis: unknown	434
486425051	HLA-G	0.886022	heterozygosis: yes (1-2)	435
596906101	HLA-G	0.886158	heterozygosis: yes (1-2)	436
210800042	HLA-G	0.886313	heterozygosis: yes (>2)	437
142707081	HLA-G	0.886732	heterozygosis: yes (1-2)	438
1134304501	HLA-G	0.886770	heterozygosis: yes (1-2)	439
248200128	HLA-G	0.887727	heterozygosis: unknown	440
210800021	HLA-G	0.887799	heterozygosis: yes (1-2)	441
413620032	HLA-G	0.888101	heterozygosis: unknown	442
559809021	HLA-G	0.888302	heterozygosis: yes (1-2)	443
338015051	HLA-G	0.888789	heterozygosis: unknown	444
1155216701	HLA-G	0.889568	heterozygosis: yes (1-2)	445
195211032	HLA-G	0.889723	heterozygosis: yes (1-2)	446
818918011	HLA-G	0.889765	heterozygosis: unknown	447
518624081	HLA-G	0.889907	heterozygosis: yes (1-2)	448
398725051	HLA-G	0.890063	heterozygosis: unknown	449
826605072	HLA-G	0.890184	heterozygosis: yes (1-2)	450
428046012	HLA-G	0.890474	heterozygosis: yes (1-2)	451
408000441	HLA-G	0.890696	heterozygosis: yes (1-2)	452
1015611101	HLA-G	0.891038	heterozygosis: yes (1-2)	453
877819091	HLA-G	0.891191	heterozygosis: yes (1-2)	454
143709042	HLA-G	0.891737	heterozygosis: unknown	455
68922043	HLA-G	0.891751	heterozygosis: unknown	456
210800016	HLA-G	0.891996	heterozygosis: yes (1-2)	457
311300012	HLA-G	0.893251	heterozygosis: unknown	458
607502081	HLA-G	0.893447	heterozygosis: unknown	459
